window_index,window_start,y_window,z1,z2,z3,z4,z5,z6,z7,z8,NOTE
238,22848,0,0.000,3.418,1.104,0.000,0.000,0.000,0.895,0.000,
239,22944,0,0.000,3.706,1.241,0.000,0.000,0.000,1.251,0.000,
240,23040,0,0.000,3.860,1.856,0.000,0.000,0.000,0.842,0.000,
241,23136,0,0.000,4.007,2.279,0.000,0.000,0.000,0.048,0.000,
242,23232,0,0.000,3.579,2.392,0.000,0.000,0.000,0.000,0.000,
243,23328,0,0.000,3.169,1.709,0.000,0.000,0.000,0.000,0.035,
244,23424,0,0.000,2.940,1.138,0.000,0.000,0.000,0.522,0.082,
245,23520,0,0.000,3.198,1.214,0.000,0.000,0.000,0.963,0.231,
246,23616,0,0.000,3.616,1.805,0.000,0.000,0.000,1.385,0.351,
247,23712,0,0.000,4.069,1.800,0.000,0.000,0.000,1.438,0.000,
